,Year,Series,Value
Cyprus,2015,Consumer price index: General,101.7294
Cyprus,2016,Consumer price index: General,100.2747
Cyprus,2017,Consumer price index: General,100.8087
Cyprus,2018,Consumer price index: General,102.2813
Cyprus,2010,Consumer price index: Food,100
Cyprus,2015,Consumer price index: Food,103.5581
Cyprus,2016,Consumer price index: Food,103.1715
Cyprus,2017,Consumer price index: Food,102.7845
Cyprus,2018,Consumer price index: Food,103.6181
Czechia,1995,Consumer price index: General,56.1272
Czechia,2005,Consumer price index: General,86.9551
Czechia,2010,Consumer price index: General,100
Czechia,2015,Consumer price index: General,107.5398
Czechia,2016,Consumer price index: General,108.23
Czechia,2017,Consumer price index: General,110.875
Czechia,2018,Consumer price index: General,113.2833
Czechia,1995,Consumer price index: Food,76.9861
Czechia,2005,Consumer price index: Food,89.8648
Czechia,2010,Consumer price index: Food,100
Czechia,2015,Consumer price index: Food,118.4052
Czechia,2016,Consumer price index: Food,117.2999
Czechia,2017,Consumer price index: Food,123.4417
Czechia,2018,Consumer price index: Food,125.0667
Dem. Rep. of the Congo,1995,Consumer price index: General,0.0126
Dem. Rep. of the Congo,2005,Consumer price index: General,58.5668
Dem. Rep. of the Congo,2010,Consumer price index: General,100
Dem. Rep. of the Congo,2015,Consumer price index: General,130.0965
Dem. Rep. of the Congo,2016,Consumer price index: General,133.8509
Dem. Rep. of the Congo,2015,Consumer price index: Food,122.0104
Dem. Rep. of the Congo,2016,Consumer price index: Food,125.7039
Denmark,1995,Consumer price index: General,72.8328
Denmark,2005,Consumer price index: General,90.0098
Denmark,2010,Consumer price index: General,100
Denmark,2015,Consumer price index: General,107.1333
Denmark,2016,Consumer price index: General,107.4011
Denmark,2017,Consumer price index: General,108.6332
Denmark,2018,Consumer price index: General,109.517
Denmark,2005,Consumer price index: Food,86.3868
Denmark,2010,Consumer price index: Food,100
Denmark,2015,Consumer price index: Food,109.0603
Denmark,2016,Consumer price index: Food,109.1694
Denmark,2017,Consumer price index: Food,112.2319
Denmark,2018,Consumer price index: Food,112.2774
Djibouti,2005,Consumer price index: General,77.8004
Djibouti,2010,Consumer price index: General,100
Djibouti,2015,Consumer price index: General,112.4791
